@RELATION Heights

@ATTRIBUTE Height numeric
@ATTRIBUTE class {M,F}

@DATA
173.5529063,M
179.7423892,M
181.4043861,M
176.2518042,M
182.8843998,M
175.7463464,M
168.0625627,M
170.8712432,M
180.1262219,M
175.564515,M
171.2189257,M
185.2641686,M
179.0469589,M
175.280979,M
169.5757592,M
175.5664859,M
185.7407187,M
171.4165327,M
164.985899,M
172.1675223,M
171.8624929,M
168.8500484,M
185.3871583,M
176.69061,M
180.3490428,M
177.5857189,M
182.1107401,M
171.8308498,M
173.4707086,M
174.4656294,M
175.04606,M
175.1606344,M
170.8079774,M
175.0462936,M
167.229903,M
164.2645319,M
168.3915802,M
170.4278678,M
170.1756559,M
180.2434061,M
173.7890154,M
171.8374201,M
192.0752906,M
179.1950747,M
174.9827308,M
173.4427111,M
165.0874988,M
166.5624597,M
176.0374641,M
166.8899772,M
172.2221372,M
175.8090142,M
172.7581153,M
157.2944503,M
170.8565613,M
171.8991275,M
177.7260952,M
165.8961923,M
182.6412538,M
168.2341163,M
167.1699548,M
185.0261676,M
180.2115864,M
181.2132714,M
180.481387,M
157.2908901,M
174.6566422,M
171.6632112,M
171.0987045,M
167.3330577,M
174.4846959,M
176.6185483,M
169.2521147,M
177.31715,M
174.4468792,M
181.902554,M
177.0120801,M
180.0887594,M
172.7347675,M
179.3639897,M
181.7908332,M
185.4526727,M
154.3002194,M
175.4685838,M
176.1203936,M
172.1031298,M
193.1087879,M
183.458145,M
175.059445,M
165.9507163,M
167.4683048,M
178.9853908,M
185.8798508,M
174.1192344,M
174.064697,M
161.5349968,M
170.5463727,M
179.8735814,M
186.7669234,M
167.9983151,M
172.4833984,M
181.4407746,M
170.4662067,M
186.1411516,M
161.7283612,M
175.8323136,M
176.962115,M
179.0330383,M
175.2718818,M
173.8830508,M
167.7028238,M
176.0681496,M
175.457461,M
186.8481667,M
167.8627298,M
186.7560002,M
176.9848129,M
169.359024,M
185.3226303,M
173.3470552,M
182.7698298,M
180.4889287,M
170.1214529,M
173.9341253,M
181.0624811,M
165.050359,M
169.575185,M
174.6660508,M
175.2410607,M
181.0897943,M
175.3856751,M
169.0153643,M
174.0294296,M
171.3476769,M
181.2477513,M
174.2196313,M
177.1296602,M
177.377997,M
183.9228878,M
166.203876,M
168.3198482,M
177.7347242,M
180.8713533,M
177.6409965,M
181.3204964,M
164.0555054,M
174.7341804,M
173.8521967,M
175.7720084,M
176.342084,M
176.799812,M
185.1195357,M
157.9329613,M
174.9417548,M
180.5434122,M
183.3436367,M
183.0393976,M
171.145347,M
172.5539717,M
179.8369029,M
166.494768,M
178.2857102,M
182.3186482,M
173.0509326,M
173.6330857,M
167.8695068,M
181.8135128,M
186.783136,M
180.6334509,M
179.8175285,M
182.1918136,M
160.5191871,M
172.9768281,M
167.2744933,M
173.5999995,M
176.6829815,M
174.5698923,M
178.2020252,M
175.0652751,M
163.3224425,M
178.957308,M
174.3051205,M
176.9484694,M
175.4095667,M
170.756545,M
167.9341312,M
174.2881639,M
175.8924925,M
176.8904417,M
184.904452,M
190.6117475,M
180.2706177,M
188.9455516,M
163.4798962,M
181.1705827,M
170.6169421,M
188.9802466,M
162.2245192,M
174.9704191,M
183.2152552,M
173.7454645,M
165.3353472,M
175.843385,M
182.7473822,M
171.3559963,M
176.054788,M
161.8768623,M
154.1267362,M
179.4848406,M
171.6888391,M
189.60975,M
178.9863803,M
182.7377867,M
188.0254071,M
179.7868595,M
164.4072327,M
173.6928812,M
181.5318208,M
170.0389125,M
179.8243267,M
165.8427843,M
156.855185,M
158.7009051,M
172.2264269,M
176.5960255,M
184.1519219,M
179.0326487,M
169.3919294,M
181.0814707,M
182.3637887,M
185.5631144,M
174.8875201,M
167.7554274,M
187.9241896,M
175.8991094,M
176.1252693,M
180.279713,M
161.4456452,M
177.2161834,M
165.578733,M
177.7465097,M
177.1665168,M
180.7754351,M
179.2528845,M
166.7537674,M
170.5315719,M
167.4319408,M
187.4180566,M
172.0526184,M
166.4819537,M
180.8833379,M
166.6045792,M
166.7955884,M
157.4107491,M
187.7058443,M
183.7491465,M
178.5917036,M
170.4735335,M
167.4685037,M
170.7584724,M
178.0904328,M
190.0974093,M
163.8993487,M
177.9301869,M
182.4562487,M
185.0053188,M
186.186739,M
168.6387088,M
168.9485114,M
175.952944,M
173.309163,M
178.8512273,M
177.1062884,M
166.3972641,M
175.6086642,M
187.1121195,M
167.3675914,M
173.6202496,M
178.8788155,M
183.0837109,M
182.146257,M
166.9520712,M
162.301779,M
178.6026647,M
167.1033737,M
177.361759,M
173.5611212,M
172.0636367,M
190.5860792,M
186.4463086,M
176.6690952,M
163.9291611,M
171.5687741,M
185.6650541,M
169.0471119,M
187.9386746,M
179.9912277,M
181.7845836,M
167.2295135,M
178.4998555,M
156.9047459,M
190.0553611,M
181.8770705,M
170.8406631,M
180.1474539,M
190.6515584,M
185.6762257,M
179.4814598,M
170.5474551,M
170.4928097,M
176.5933577,M
165.6707168,M
173.7625756,M
174.6591978,M
172.5596468,M
175.8640849,M
173.9029388,M
166.8635057,M
176.354735,M
167.9838942,M
180.0277023,M
167.5715851,M
164.9453532,M
173.6562524,M
176.5949003,M
168.7972294,M
176.4654377,M
174.5744507,M
187.4044372,M
194.3147837,M
180.9132829,M
163.8457745,M
168.9196899,M
175.7944491,M
161.4077791,M
177.1170662,M
174.2648495,M
181.5188908,M
176.5540995,M
187.3494748,M
173.4255784,M
184.0347689,M
179.7537509,M
178.9484375,M
175.0164111,M
175.8656051,M
170.8857321,M
181.5179623,M
174.8552091,M
181.3711504,M
178.1679801,M
179.5264152,M
174.0944348,M
181.4442064,M
165.660884,M
179.7638046,M
177.1906408,M
162.4648279,M
178.5725747,M
178.604797,M
171.209736,M
170.4886178,M
173.6790529,M
176.728727,M
158.8319233,M
176.1155267,M
169.6401669,M
191.4938823,M
178.3426179,M
180.6030516,M
177.2764752,M
168.8384849,M
179.6128338,M
161.5915419,M
179.1951705,M
171.2031656,M
181.4453443,M
174.227249,M
181.4889094,M
179.5749265,M
181.3343198,M
179.0335336,M
188.9967972,M
161.037075,M
173.7352866,M
171.2718296,M
179.8624799,M
170.4600884,M
172.0296785,M
174.1191138,M
174.2934918,M
179.338633,M
170.4004243,M
165.8917388,M
177.6073327,M
173.6461726,M
180.0093045,M
193.071242,M
172.6335582,M
177.2033221,M
176.7044279,M
181.7624476,M
180.2334451,M
166.2199427,M
180.2793563,M
172.7018422,M
179.1170283,M
175.5373463,M
181.8781557,M
177.5194788,M
168.8005229,M
178.5400396,M
159.0547116,M
169.2190719,M
165.989732,M
181.8811193,M
176.3088026,M
177.5302865,M
166.7915348,M
163.5970141,M
174.31229,M
176.7847179,M
171.3312074,M
173.1517863,M
176.6661797,M
166.9981369,M
185.7308786,M
169.217152,M
175.6306088,M
167.5531194,M
170.6962967,M
166.2530512,M
185.4964337,M
173.5258021,M
168.4890749,M
183.799438,M
172.0022658,M
179.0130819,M
180.7539988,M
176.1611401,M
178.0469836,M
176.0151209,M
160.807322,M
172.4335639,M
185.9355435,M
185.778534,M
180.0757957,M
183.2424394,M
183.2172558,M
180.8648116,M
168.2804623,M
183.7476355,M
172.8950622,M
181.3491646,M
166.9441214,M
170.4605364,M
183.4261887,M
160.044849,M
176.7056542,M
178.8261643,M
172.7967476,M
177.2358922,M
157.6797334,M
167.219426,M
179.7835775,M
176.7114327,M
171.0107446,M
172.2490888,M
169.3728966,M
176.8848602,M
164.526563,M
187.8658703,M
172.5507949,M
169.5959003,M
175.0983482,M
194.1437791,M
175.2502092,M
186.6946726,M
176.7918826,M
183.0511452,M
179.0426303,M
170.2685204,M
168.1076356,M
174.4832921,M
169.2992137,M
177.390189,M
168.2624646,M
184.9400203,M
163.7658573,M
177.1763775,M
179.4800687,M
184.075371,M
173.1556934,M
185.3874154,M
179.1552545,M
177.9192608,M
175.3008106,M
186.8148722,M
173.0199685,M
173.4505981,M
181.6787011,M
186.427219,M
177.4051928,M
178.1859933,M
168.4013037,M
194.2920523,M
180.4222584,M
169.242844,M
167.8318635,M
179.3574325,M
165.6168409,M
169.8291277,M
187.3453157,M
177.5411386,M
176.5993921,M
169.5309728,M
175.4492098,M
174.1468469,M
178.619277,M
182.7507659,M
180.1280416,M
178.7426533,M
172.203052,M
174.4979889,M
175.5511648,M
171.9506433,M
181.0520388,M
181.426041,M
180.4501251,M
164.4046901,M
170.556325,M
183.6209104,M
178.4168801,M
163.7229589,M
189.1410709,M
165.8592445,M
184.7837963,M
166.924174,M
174.9808411,M
185.5175579,M
177.4462958,M
177.4474403,M
182.2845266,M
169.7249486,M
172.1807423,M
175.8968132,M
175.0813672,M
175.252659,M
168.5899471,M
168.5963591,M
175.3986072,M
166.7953875,M
159.3923089,M
169.1080862,M
170.8713135,M
177.3848412,M
188.5097346,M
180.9255425,M
179.7376774,M
172.4125428,M
170.4708978,M
169.011123,M
170.4116954,M
174.9892808,M
182.5820497,M
179.1509653,M
175.7885948,M
169.8110339,M
195.9884343,M
173.2242848,M
169.6613145,M
188.1383238,M
177.0170273,M
179.0262038,M
168.1555276,M
182.5190353,M
167.5770262,M
184.5994812,M
177.3225351,M
175.3695908,M
162.1807231,M
164.8708545,M
165.2154278,M
174.9409663,M
177.7548375,M
159.2816314,M
169.9855294,M
170.8633717,M
183.1912148,M
176.8129643,M
165.5691402,M
188.1638984,M
155.2494447,M
173.5364903,M
162.4404381,M
174.1966887,M
164.9118088,M
176.935774,M
180.6467134,M
159.5226444,M
179.8606047,M
176.6557568,M
170.2621593,M
171.187959,M
176.2044821,M
189.3446478,M
169.0535735,M
170.8402802,M
167.644998,M
170.9001089,M
172.5285694,M
167.7863899,M
167.2452344,M
175.3388996,M
178.6308757,M
168.9971385,M
181.5380542,M
177.9192041,M
174.2585048,M
175.2152471,M
187.4237677,M
175.4449395,M
185.8973907,M
174.4405564,M
164.9027341,M
167.922522,M
172.0824342,M
182.407315,M
175.7564207,M
171.214216,M
177.4866489,M
163.4913589,M
171.4318488,M
185.7309803,M
171.8384815,M
174.0862707,M
179.6408854,M
173.3045818,M
171.9506935,M
187.2405266,M
174.9004813,M
168.8433656,M
177.7295946,M
171.5927054,M
188.6509274,M
183.1184043,M
176.7072404,M
181.8997872,M
170.531916,M
173.7757542,M
198.3635034,M
174.3522741,M
177.8681784,M
188.7872196,M
183.4683561,M
171.8733268,M
168.7174353,M
165.2806282,M
175.6587345,M
172.2254922,M
173.3264133,M
184.274084,M
188.1033242,M
186.0214421,M
185.0077196,M
173.4053426,M
177.9824206,M
182.2162847,M
174.4318576,M
178.262634,M
170.0444001,M
171.8970109,M
172.4750759,M
170.6865576,M
170.1745694,M
167.7154596,M
172.2482862,M
181.4770348,M
178.0014812,M
187.2528976,M
168.6255369,M
173.218063,M
173.4194137,M
167.4867044,M
169.8545698,M
168.1429427,M
186.189646,M
175.9839917,M
182.2951946,M
161.6442859,M
183.2903242,M
182.8883323,M
173.1412255,M
175.4756379,M
170.6586643,M
161.5821477,M
182.1703535,M
179.0068196,M
185.0836721,M
173.1336233,M
176.9850402,M
160.0201206,M
182.2656376,M
181.9393828,M
180.5028277,M
178.0924668,M
178.9401409,M
174.0953272,M
181.1881588,M
170.6395841,M
185.6901145,M
180.054216,M
182.6519741,M
186.8660164,M
177.2960011,M
179.3947893,M
168.4390249,M
178.4841737,M
180.2859046,M
178.6002686,M
181.6447993,M
180.3363074,M
169.4060854,M
184.5538589,M
168.9355086,M
169.1087159,M
169.4806876,M
176.0106881,M
173.5403751,M
167.1268007,M
178.114354,M
175.4227851,M
180.1056512,M
169.5554897,M
174.2169722,M
180.2734209,M
160.4736372,M
177.5541559,M
172.043651,M
180.5761089,M
178.1093622,M
167.1015814,M
181.6283957,M
182.1573649,M
181.4942047,M
176.2395151,M
178.1842129,M
183.1571453,M
181.915526,M
175.7860329,M
180.6082924,M
170.3534922,M
193.0398909,M
172.6853889,M
176.2286188,M
181.4168239,M
178.9973491,M
182.5240161,M
184.6990617,M
185.2202725,M
182.2748382,M
189.6597599,M
171.0022344,M
179.2097101,M
165.5595789,M
177.1167741,M
182.2486133,M
175.184852,M
165.2047017,M
177.8528557,M
180.4284662,M
185.0937084,M
182.6773635,M
187.8780156,M
166.7878755,M
179.9791472,M
173.1177366,M
170.6319081,M
179.9766534,M
162.0798754,M
170.0519614,M
178.5129584,M
178.6216729,M
179.2378022,M
176.0071856,M
188.9486333,M
169.9064793,M
186.9987217,M
175.4900305,M
171.5567379,M
159.8217502,M
174.8793867,M
176.8139284,M
176.5697727,M
175.5315691,M
169.7298186,M
180.624846,M
172.1147514,M
169.0642811,M
170.4403996,M
176.7385625,M
183.5922171,M
175.7874719,M
175.3272453,M
166.205051,M
173.9025518,M
182.7860586,M
187.3492576,M
179.1525831,M
175.2938709,M
186.9744428,M
173.9673232,M
162.7926972,M
172.649286,M
179.919766,M
181.9848527,M
170.9712063,M
173.3372247,M
166.3121508,M
179.6060166,M
170.627333,M
172.0829854,M
173.8754557,M
183.6427821,M
166.1233013,M
166.7321637,M
176.3837498,M
172.7159595,M
182.0996248,M
186.9516368,M
170.8840817,M
183.1972715,M
174.2841625,M
165.6768265,M
168.471894,M
177.9963803,M
169.2612037,M
185.349549,M
189.8872312,M
167.2540752,M
169.1672596,M
173.3244036,M
176.8893205,M
165.7412971,M
169.1182762,M
173.3718773,M
175.2787706,M
177.9643087,M
180.5554018,M
180.6047893,M
174.0942472,M
175.3121031,M
169.8950611,M
174.9713715,M
173.6619409,M
168.1724279,M
164.3041953,M
172.699969,M
164.4322062,M
178.0043175,M
168.8262852,M
183.322159,M
164.0516305,M
188.9790722,M
181.0736634,M
166.0634848,M
172.8886002,M
164.336208,M
176.7708586,M
183.9615472,M
169.4939868,M
174.42507,M
176.6856932,M
184.8405621,M
176.468045,M
176.3265774,M
167.1473997,M
182.0680834,M
168.5334235,M
168.8287827,M
179.0103235,M
172.9832113,M
167.2124021,M
175.7560581,M
185.1179733,M
172.1567037,M
177.8661643,M
181.2309878,M
181.522884,M
175.7985083,M
172.808217,M
182.7974035,M
181.1980646,M
183.8815816,M
153.3228114,M
178.9797195,M
182.1527335,M
179.1783082,M
185.729896,M
157.642143,M
175.4646663,M
181.6372537,M
179.2850961,M
165.1788251,M
172.5149694,M
174.9828152,M
179.5985107,M
164.0263726,M
180.2536037,M
174.7402722,M
166.149733,M
165.6245936,M
177.6290839,M
169.9290778,M
170.8299711,M
174.0054964,M
172.1036961,M
168.6300379,M
178.3312085,M
174.5023103,M
179.7612979,M
190.3858651,M
168.5496681,M
167.8348073,M
169.7706866,M
183.3010219,M
173.3711442,M
176.3921155,M
178.9042657,M
183.8722693,M
175.8367859,M
170.4455316,M
178.6737565,M
183.8586645,M
179.2798302,M
171.2041195,M
186.5344816,M
170.6929858,M
188.0358668,M
175.0129169,M
162.2424282,M
172.9075768,M
172.1540072,M
176.5768279,M
173.7382031,M
174.9646399,M
177.2103279,M
166.9192749,M
168.2177975,M
159.4435253,M
170.5083877,M
177.5357316,M
171.9263278,M
176.796262,M
177.0437341,M
171.2854783,M
173.0834193,M
179.0459243,M
180.2995405,M
180.9570134,M
173.9537403,M
175.9850747,M
164.0866556,M
174.5009053,M
173.4633225,M
166.9125654,M
172.3332826,M
171.215342,M
167.8878431,M
171.7350381,M
168.2650915,M
172.0281834,M
175.3722952,M
199.2936144,M
179.3652584,M
178.8272687,M
172.3942888,M
179.9613371,M
172.4744845,M
189.7993131,M
173.6936003,M
192.4137523,M
180.4074204,M
179.7117233,M
193.7872277,M
176.787246,M
176.699401,M
176.7337289,M
167.202578,M
172.2023845,M
173.7108762,M
164.9029546,M
173.8491872,M
184.5919439,M
167.7770677,M
155.729428,M
173.4174351,M
191.1685319,M
168.8344241,M
168.974247,M
172.0858379,M
182.3104021,M
175.2534979,M
173.4970713,M
187.8698132,M
174.6300559,M
186.8761416,M
169.9991698,M
176.1535405,M
170.2244152,M
183.0339046,M
172.4094878,M
162.4159212,M
167.9451412,M
187.4907244,M
164.4782248,M
170.2173826,M
180.0317281,M
171.2294057,M
170.0140122,M
164.2877876,M
170.9974154,M
173.4845963,M
187.4596823,M
168.2882716,M
171.9722322,M
167.2696802,M
182.3895525,M
165.9717363,M
172.6401562,M
190.8947416,M
161.0587277,M
165.3592123,M
172.0264693,M
183.6690119,M
176.3858681,M
164.787079,M
170.1168861,M
169.9484469,M
173.0440454,M
178.7853294,M
179.0850555,M
177.2147017,M
173.7559344,M
170.9268054,M
173.2935898,M
171.5351926,M
188.9924627,M
175.2560552,M
173.5896069,M
175.2654998,M
164.6778625,M
185.5807651,M
181.8683091,M
178.4407219,M
180.3799566,M
176.1961845,M
162.8792693,M
179.1578288,M
161.0336103,M
181.38068,M
177.4879543,M
169.8634221,M
180.9753456,M
186.8778886,M
173.1465554,M
186.8807109,M
177.5343256,M
164.7937219,M
182.9639334,M
171.210618,M
171.7786163,M
176.657956,M
168.4122558,M
174.4915499,M
179.2072787,M
168.503854,M
173.6548884,M
183.8196313,M
170.6680652,M
171.5304089,M
174.2913227,M
174.137195,M
178.5624546,M
175.0183218,M
176.2303241,M
184.4327713,M
171.6172939,M
175.8604587,M
177.9577242,M
176.0346431,M
189.7052152,M
171.5876631,M
170.3015126,M
184.7652113,M
173.62466,M
170.4142314,M
188.4914085,M
154.4834872,M
176.8702832,M
172.0357522,M
177.2668271,M
177.7744806,M
163.6709334,M
164.6009972,M
176.6811991,M
172.7266153,M
179.0480861,M
188.0967692,M
182.4074973,M
170.8699029,M
171.6834124,M
158.2285251,M
182.7653642,M
173.773644,M
176.6976265,M
180.5662177,M
183.2072172,M
184.2549695,M
164.4132234,M
180.237103,M
179.6594335,M
168.532915,M
179.5230755,M
169.8113924,M
178.2384278,M
181.9021018,M
178.4167526,M
172.3292469,M
183.1048165,M
174.972714,M
177.1280231,M
176.0990802,M
174.1449084,M
174.3222232,M
188.1964674,M
183.8418346,M
173.774739,M
174.2717417,M
165.2437349,M
191.9539944,M
178.6659786,M
186.4982545,M
186.1297899,M
165.993798,M
189.7033717,M
175.1464114,M
177.1062237,M
170.0241113,M
187.9480904,M
179.1568726,M
184.8398712,M
176.8682307,M
177.1650824,M
169.3192019,M
174.9435765,M
172.470594,M
182.8051362,M
191.6810813,M
161.7083063,M
175.5262007,M
180.4740576,M
192.2744904,M
180.697603,M
177.6039378,M
172.1627283,M
172.6843768,M
179.7348512,M
166.7154331,M
187.5883032,M
182.351736,M
157.9091819,M
164.6102599,M
159.4053687,M
175.2638059,M
177.086497,M
171.6006234,M
186.1265864,M
177.2228026,M
180.0508068,M
171.5036376,M
180.4724572,M
178.761489,M
179.8285118,M
176.3959129,M
165.33028,M
184.4507576,M
175.1804462,M
169.013605,M
192.5803623,M
183.5899724,M
169.8094411,M
161.6662858,M
173.6851394,M
176.8676658,M
184.6696952,M
187.2943378,M
167.4734544,M
169.2344856,M
173.9133532,M
186.5863277,M
160.4864485,M
172.569069,M
189.7624157,M
164.1814703,M
180.8437231,M
171.1858904,M
171.1135861,M
179.9263827,M
174.0306377,M
180.6982616,M
170.6833238,M
179.6205459,M
175.7294668,M
186.5533155,M
181.9907894,M
177.6602645,M
189.7319985,M
172.3838696,M
182.0948071,M
183.3902539,M
172.9711391,M
169.1002123,M
178.2845537,M
194.1997083,M
167.9999107,M
167.4488424,M
182.4940343,M
175.5588497,M
186.3304291,M
175.3936757,M
182.5392469,M
182.5180181,M
154.4291695,M
175.3714212,M
173.5045708,M
180.3215458,M
182.7337186,M
177.651547,M
182.6567823,M
180.3600362,M
183.596098,M
168.3413916,M
173.3510451,M
183.81343,M
171.4387609,M
179.7105818,M
182.0381349,M
181.6683293,M
167.8430958,M
179.0043699,M
180.2141207,M
169.236226,M
165.7720953,M
177.1020266,M
182.5084541,M
170.1010972,M
175.8461498,M
165.744324,M
184.6459567,M
184.9473225,M
169.1068898,M
158.970908,M
172.1302629,M
173.9460771,M
172.0291642,M
194.6085667,M
186.8812513,M
171.8331443,M
177.1772788,M
166.9049237,M
174.6730121,M
179.5751947,M
175.7884923,M
189.5699213,M
178.7007268,M
173.013806,M
180.5841273,M
177.7571691,M
165.7897689,M
171.9074131,M
188.1312761,M
174.6478414,M
175.901032,M
174.7670737,M
172.0735519,M
181.5373236,M
179.4642857,M
173.6572088,M
181.5331862,M
176.2202146,M
189.1245843,M
183.5875326,M
185.6084186,M
172.9974051,M
171.2670224,M
179.886436,M
170.791375,M
180.9080137,M
167.1219668,M
163.8829526,M
171.3916594,M
181.2458353,M
173.1678184,M
171.381671,M
166.7685783,M
171.9589094,M
158.0104247,M
171.3105045,M
176.7308892,M
177.6126527,M
174.907147,M
180.196489,M
181.7997973,M
168.9173632,M
175.288348,M
172.8939771,M
178.8666885,M
180.9034437,M
178.2716805,M
168.8632576,M
178.7885698,M
174.8696269,M
176.6992207,M
175.8032399,M
182.0632128,M
174.0098499,M
177.9507007,M
180.0955109,M
170.4704765,M
171.7763504,M
180.3080298,M
169.8714301,M
173.9327396,M
168.3183235,M
167.0659905,M
163.7318186,M
167.2716054,M
177.5530013,M
175.6013773,M
179.0233245,M
186.7086944,M
183.6795295,M
187.3218276,M
186.7946082,M
160.2599874,M
183.5584005,M
180.6424824,M
182.8945019,M
169.4268383,M
161.4713851,M
179.5729507,M
192.2343321,M
173.1318522,M
178.3721401,M
181.7757514,M
182.0104554,M
189.6629043,M
169.684765,M
172.7824057,M
173.261387,M
183.0313621,M
169.4306503,M
165.3530745,M
173.2981411,M
178.5050777,M
175.2422049,M
184.9567963,M
179.0275524,M
175.9334546,M
167.9398777,M
154.8554771,M
167.8505874,M
176.1192768,M
179.8227169,M
164.6974817,M
169.963831,M
180.8393307,M
171.8574745,M
173.9801789,M
170.5360724,M
172.7991777,M
180.4177671,M
166.6872992,M
174.4447486,M
183.5510827,M
177.310479,M
168.6512461,M
171.6790273,M
180.566303,M
167.182743,M
174.1445695,M
177.0853502,M
183.0202258,M
171.8374261,M
177.1977115,M
169.9674917,M
182.1024567,M
175.3465253,M
174.3450153,M
173.2566692,M
171.3389304,M
173.1371512,M
180.2049634,M
179.5430685,M
180.2576671,M
189.4958568,M
164.9693066,M
171.1773081,M
179.5132741,M
182.1270864,M
179.5226477,M
179.0031412,M
173.7959097,M
178.8619416,M
182.0579726,M
172.4772309,M
160.0356976,M
